award_date,project_number,award_amount,award_type
2022-01-11,1F30HD106732-01A1,44580,1
2022-02-09,1F30HD107921-01,51036,1
2023-01-11,1F30HD107932-01A1,32612,1
2021-12-30,1F30HD107939-01,51752,1
2022-12-20,1F30HD111129-01,47110,1
2022-12-26,1F30HD111284-01,39877,1
2024-01-15,1F30HD111296-01A1,39214,1
2023-12-09,1F30HD114316-01,52694,1
2023-12-01,1F30HD114399-01,53974,1
2024-02-10,1F30HD114405-01,53974,1
2024-12-09,1F30HD115297-01A1,49174,1
2024-11-27,1F30HD117592-01,41750,1
2024-12-05,1F30HD117619-01,44924,1
2022-01-21,1F30HL158035-01A1,51752,1
2022-01-03,1F30HL158145-01A1,33186,1
2022-01-22,1F30HL158220-01A1,39660,1
2022-02-05,1F30HL162128-01,38696,1
2022-01-28,1F30HL162429-01,54252,1
2023-02-15,1F30HL162454-01A1,42907,1
2021-12-15,1F30HL162459-01,51752,1
2021-12-20,1F30HL162528-01,51752,1
2023-01-13,1F30HL167457-01,36837,1
2023-01-31,1F30HL167629-01,38768,1
2023-12-29,1F30HL168823-01A1,53974,1
2023-12-29,1F30HL172382-01,53974,1
2024-01-24,1F30HL172583-01,34623,1
2024-01-22,1F30HL172602-01,53974,1
2024-01-15,1F30HL172604-01,53974,1
2024-12-31,1F30HL177958-01,41656,1
2025-01-07,1F30HL178164-01,36958,1
2024-12-27,1F30HL178304-01,44880,1
2024-12-20,1F30HL178496-01,53974,1
2021-12-30,1F30MH126607-01A1,39127,1
2021-12-20,1F30MH127800-01A1,33060,1
2021-12-17,1F30MH129009-01,39014,1
2021-12-10,1F30MH129055-01,38719,1
2022-01-26,1F30MH129058-01,51752,1
2022-12-22,1F30MH132165-01,31904,1
2021-11-30,1F30NS120845-01A1,26355,1
2022-01-06,1F30NS122281-01A1,34052,1
2022-12-05,1F30NS130973-01,48969,1
2025-01-03,1F30NS141487-01,37568,1
2024-11-19,1F30NS141502-01,53974,1
2022-01-27,1F31AA029588-01A1,46752,1
2022-01-28,1F31AA029628-01A1,40763,1
2022-02-10,1F31AA029942-01A1,46752,1
2022-01-28,1F31AA029946-01A1,38259,1
2022-01-28,1F31AA029948-01,46752,1
2022-02-09,1F31AA030172-01,46752,1
2022-02-10,1F31AA030219-01,46752,1
2023-02-08,1F31AA030921-01,47694,1
2024-01-23,1F31AA031154-01A1,48974,1
2024-01-30,1F31AA031163-01A1,48974,1
2024-01-23,1F31AA031426-01A1,35974,1
2024-01-23,1F31AA031431-01A1,48974,1
2024-02-05,1F31AA031597-01,46664,1
2024-01-23,1F31AA031602-01,48974,1
2024-01-24,1F31AA031607-01,48974,1
2024-02-14,1F31AA031620-01,39498,1
2024-01-24,1F31AA031623-01,40460,1
2022-01-12,1F31AG072716-01A1,43781,1
2021-12-22,1F31AG072787-01A1,42762,1
