year,week,award_type,count,total
2023,5,1,265,108078174
2023,5,2,37,20307919
2023,5,3,66,14435475
2023,5,4N,15,7153316
2023,5,5,912,515564714
2023,5,7,38,23898541
2023,5,9,1,406250
2023,6,1,200,70700853
2023,6,2,31,11141023
2023,6,3,60,11104547
2023,6,4C,2,1589476
2023,6,4N,13,7128046
2023,6,5,599,280803642
2023,6,6,1,607000
2023,6,7,35,17480688
2023,7,1,177,58543254
2023,7,2,27,13908016
2023,7,3,29,3653087
2023,7,4N,10,5054070
2023,7,5,586,277055064
2023,7,7,18,6630429
2023,44,1,12,4941835
2023,44,3,3,365618
2023,44,4N,1,249000
2023,44,5,214,81307387
2023,44,6,1,399743
2023,44,7,9,3265359
2023,45,1,39,11998369
2023,45,2,5,2453082
2023,45,3,7,45327795
2023,45,4N,4,2328481
2023,45,5,472,258465498
2023,45,7,17,6133147
2023,46,1,88,31447623
2023,46,2,6,3874887
2023,46,3,13,3558371
2023,46,4C,1,745928
2023,46,5,542,332991460
2023,46,7,12,6380584
2023,46,9,1,610443
2023,47,1,85,27565812
2023,47,2,7,3986458
2023,47,3,25,2841324
2023,47,4N,1,737759
2023,47,5,324,192669708
2023,47,6,1,487709
2023,47,7,13,5746608
2023,48,1,151,45258383
2023,48,2,22,10750316
2023,48,3,25,2429487
2023,48,4N,2,335516
2023,48,5,514,287152133
2023,48,6,1,247657
2023,48,7,17,4580511
2023,49,1,155,57096010
2023,49,2,28,15788006
2023,49,3,46,11809317
2023,49,4N,6,3510773
2023,49,5,451,213490742
2023,49,7,22,9110135
2023,50,1,200,81665857
2023,50,2,28,17785310
2023,50,3,36,6971933
2023,50,4N,4,4592502
2023,50,5,595,278023858
2023,50,6,1,399743
2023,50,7,19,7081331
2023,51,1,183,86629196
2023,51,2,41,19108505
2023,51,3,41,8293891
2023,51,4C,4,2381701
2023,51,4N,10,5147837
2023,51,5,519,235915128
2023,51,6,1,238717
2023,51,7,25,9024469
2023,52,1,161,77461535
2023,52,2,30,32117352
2023,52,3,22,2918330
2023,52,4N,6,3223164
2023,52,5,398,210050627
2023,52,7,12,5523199
2023,53,5,1,49946
2023,53,7,1,162000
2024,1,1,89,32607875
2024,1,2,12,5936695
2024,1,3,28,324205472
2024,1,4N,4,1200561
2024,1,5,436,193774111
2024,1,7,25,8449831
2024,2,1,117,38438402
2024,2,2,24,8164173
2024,2,3,45,4011579
2024,2,4C,1,800000
2024,2,4N,6,1926941
2024,2,5,597,287547399
2024,2,6,1,466081
2024,2,7,24,10724158
2024,2,9,1,1000000
2024,3,1,148,53743031
2024,3,2,23,13375361
2024,3,3,37,2720624
2024,3,4C,1,759543
2024,3,4N,10,4476730
2024,3,5,685,313717604
2024,3,6,1,522489
2024,3,7,21,6555864
2024,3,9,1,540299
2024,4,1,164,55799684
2024,4,2,26,13476464
2024,4,3,55,5821925
2024,4,4C,2,1092200
2024,4,4N,12,2540202
2024,4,5,839,423059663
2024,4,6,1,9035
2024,4,7,21,7948676
2024,5,1,215,76383263
2024,5,2,32,18477727
2024,5,3,56,11566492
2024,5,4N,16,7042036
2024,5,5,805,435124828
2024,5,6,1,1
2024,5,7,33,11543771
2024,5,8,1,88884
2024,6,1,164,57468566
2024,6,2,17,8881192
2024,6,3,44,4742001
2024,6,4C,1,999436
2024,6,4N,12,5481115
2024,6,5,655,332113362
2024,6,7,27,9211797
2024,6,8,1,78796
2024,7,1,172,80667856
2024,7,2,30,11874542
2024,7,3,45,4283431
2024,7,4N,16,6175573
2024,7,5,681,363624998
2024,7,6,1,477802
2024,7,7,28,11892173
2024,7,9,1,791370
2024,44,1,1,0
2024,44,2,1,3885749
2024,44,3,1,95141
2024,44,5,85,31165200
2024,44,7,2,249698
2024,45,1,27,4116977
2024,45,2,1,460500
2024,45,3,15,1078612
2024,45,4N,2,629460
2024,45,5,267,114667122
2024,45,7,10,5493124
2024,46,1,107,33842720
2024,46,2,4,1640249
2024,46,3,16,1301170
2024,46,4N,1,189359
2024,46,5,347,157231061
2024,46,7,8,3868175
2024,47,1,117,43611444
2024,47,2,14,9090978
2024,47,3,31,13445843
2024,47,4C,1,789536
2024,47,4N,5,3814788
2024,47,5,618,287758997
2024,47,6,1,524299
2024,47,7,16,5655678
2024,48,1,136,57848745
2024,48,2,15,7570470
2024,48,3,39,16114973
2024,48,4N,7,3183049
2024,48,5,548,358644510
2024,48,7,25,5233805
2024,49,1,113,48806178
2024,49,2,15,9439350
2024,49,3,42,6199021
2024,49,4N,6,2126362
2024,49,5,424,222137641
2024,49,6,2,501055
2024,49,7,16,7311275
2024,50,1,217,78608624
2024,50,2,20,17203104
2024,50,3,55,7573997
2024,50,4N,8,2685110
2024,50,5,631,261791486
2024,50,6,1,484260
2024,50,7,25,15758908
2024,50,9,1,434610
2024,51,1,228,94670952
2024,51,2,19,9699293
2024,51,3,61,24685806
2024,51,4N,8,3159783
2024,51,5,766,344294892
2024,51,6,1,495000
2024,51,7,22,10040534
2024,52,1,189,91862725
2024,52,2,32,19186545
2024,52,3,21,1606927
2024,52,4C,2,1317031
2024,52,4N,7,2569549
2024,52,5,291,127132188
2024,52,6,1,725000
2024,52,7,16,4976702
2024,53,1,98,48100378
2024,53,2,14,8985881
2024,53,3,7,502275
2024,53,4N,2,497999
2024,53,5,127,60107160
2024,53,6,1,400000
2024,53,7,2,839726
2025,1,1,76,37635322
2025,1,2,5,1680254
2025,1,3,12,1397302
2025,1,4N,2,5476143
2025,1,5,274,124491360
2025,1,7,11,4096330
2025,2,1,98,41314030
2025,2,2,18,7861855
2025,2,3,40,2725717
2025,2,4N,8,3373178
2025,2,5,570,267116526
